0B Взуття дитяче - БАРТЕКs - T-21363/14A/20;1;1298;;Босоніжки;"Босоніжки
Для кого: хлопець
Сезон: весна-літо
Колір: червоний з сірим
Матеріали:
верх: шкіра натуральна, нубук
підкладка:  шкіра натуральна
устілка: B-FRESH шкіра натуральна
підошва: термокаучук 
спосіб защіпки: липучки
Додаткова інформація про матеріали: Нова пластина B-Fresh діє як вбудований дезодорант - ефективно запобігає неприємний запах поту і знижує ріст пилових кліщів, грибків, бактерій і алергенів.";"Босоножки
Для кого: парень
Сезон: весна-лето
Цвет: красный с серым
материалы:
верх: натуральная кожа, нубук
подкладка: кожа натуральная
стелька: B-FRESH кожа натуральная
подошва: термокаучук
способ застежки: липучки
Дополнительная информация о материалах Новая пластина B-Fresh действует как встроенный дезодорант - эффективно предотвращает неприятный запах пота и снижает рост пылевых клещей, грибков, бактерий и аллергенов."
0B Взуття дитяче - БАРТЕКs - T-21363/14A/22;1;1298;;;;
0B Взуття дитяче - БАРТЕКs - T-21363/14A/23;1;1298;;;;
0B Взуття дитяче - БАРТЕКs - T-21363/14A/24;1;1298;;;;
0B Взуття дитяче - БАРТЕКs - T-21363/14A/25;1;1298;;;;
0B Взуття дитяче - БАРТЕКs - T-21363/14A/26;2;1298;;;;
0B Взуття дитяче - БАРТЕКs - T-21363/38G/21;1;1298;;Босоніжки;"Босоніжки
Для кого: хлопець
Сезон: весна-літо
Колір: черний з білим
Матеріали:
верх: шкіра натуральна, нубук
підкладка:  шкіра натуральна
устілка: B-FRESH шкіра натуральна
підошва: термокаучук 
спосіб защіпки: липучки
Додаткова інформація про матеріали: Нова пластина B-Fresh діє як вбудований дезодорант - ефективно запобігає неприємний запах поту і знижує ріст пилових кліщів, грибків, бактерій і алергенів.
";"Босоножки
Для кого: парень
Сезон: весна-лето
Цвет: черный с белым
материалы:
верх: натуральная кожа, нубук
подкладка: кожа натуральная
стелька: B-FRESH кожа натуральная
подошва: термокаучук
способ застежки: липучки
Дополнительная информация о материалах Новая пластина B-Fresh действует как встроенный дезодорант - эффективно предотвращает неприятный запах пота и снижает рост пылевых клещей, грибков, бактерий и аллергенов."
0B Взуття дитяче - БАРТЕКs - T-21363/38G/23;1;1298;;;;
0B Взуття дитяче - БАРТЕКs - T-21363/38G/25;1;1298;;;;
0B Взуття дитяче - БАРТЕКs - T-21363/38G/26;1;1298;;;;
